"Indicator","Market","Destination","Units","2019"
"Visitor days","Maryland","Molokai","days","2,258"
"Visitor days","Maryland","Lanai","days","1,959"
"Visitor days","Maryland","Hilo","days","20,547"
"Visitor days","Maryland","Kona","days","70,670"
"Visitor days","Massachusetts","Oahu","days","297,848"
"Visitor days","Massachusetts","Kauai","days","105,933"
"Visitor days","Massachusetts","Maui Island","days","224,631"
"Visitor days","Massachusetts","Molokai","days","2,674"
"Visitor days","Massachusetts","Lanai","days","2,660"
"Visitor days","Massachusetts","Hilo","days","28,619"
"Visitor days","Massachusetts","Kona","days","94,775"
"Visitor days","Michigan","Oahu","days","293,130"
"Visitor days","Michigan","Kauai","days","129,199"
"Visitor days","Michigan","Maui Island","days","296,513"
"Visitor days","Michigan","Molokai","days","3,618"
"Visitor days","Michigan","Lanai","days","3,270"
"Visitor days","Michigan","Hilo","days","29,140"
"Visitor days","Michigan","Kona","days","120,111"
"Visitor days","Minnesota","Oahu","days","346,188"
"Visitor days","Minnesota","Kauai","days","162,084"
"Visitor days","Minnesota","Maui Island","days","350,064"
"Visitor days","Minnesota","Molokai","days","3,603"
"Visitor days","Minnesota","Lanai","days","3,130"
"Visitor days","Minnesota","Hilo","days","31,770"
"Visitor days","Minnesota","Kona","days","156,956"
"Visitor days","Mississippi","Oahu","days","48,478"
"Visitor days","Mississippi","Kauai","days","8,875"
"Visitor days","Mississippi","Maui Island","days","23,072"
"Visitor days","Mississippi","Molokai","days","284"
"Visitor days","Mississippi","Lanai","days","471"
"Visitor days","Mississippi","Hilo","days","3,622"
"Visitor days","Mississippi","Kona","days","11,092"
"Visitor days","Missouri","Oahu","days","215,042"
"Visitor days","Missouri","Kauai","days","86,440"
"Visitor days","Missouri","Maui Island","days","180,677"
"Visitor days","Missouri","Molokai","days","1,950"
"Visitor days","Missouri","Lanai","days","3,034"
"Visitor days","Missouri","Hilo","days","17,682"
"Visitor days","Missouri","Kona","days","69,979"
"Visitor days","Montana","Oahu","days","82,303"
"Visitor days","Montana","Kauai","days","66,685"
